t,u,y
0.41,-84.101361,-44.949374
0.412,-84.828084,-47.374372
0.414,-83.558061,-48.54064
0.416,-80.596036,-47.410786
0.418,-80.705099,-48.056418
0.42,-78.868085,-50.2979
0.422,-75.994802,-50.693351
0.424,-76.568225,-49.225346
0.426,-74.456422,-50.79827
0.428,-70.463187,-51.71447
0.43,-70.000922,-51.207839
0.432,-66.185337,-51.379487
0.434,-65.752712,-52.02599
0.436,-62.607927,-49.35637
0.438,-63.16771,-51.872071
0.44,-59.963238,-52.075896
0.442,-59.061272,-52.089259
0.444,-56.165773,-52.733876
0.446,-53.498491,-53.486814
0.448,-53.643422,-51.374465
0.45,-50.959137,-52.485482
0.452,-48.409946,-52.328831
0.454,-44.853242,-51.942929
0.456,-45.517977,-52.016349
0.458,-42.541642,-53.513168
0.46,-37.302644,-51.702399
0.462,-36.917115,-52.297481
0.464,-36.495462,-50.805924
0.466,-32.220833,-51.758562
0.468,-30.06017,-49.787182
0.47,-27.397683,-51.088506
0.472,-25.91644,-49.960985
0.474,-21.849291,-50.983714
0.476,-18.828748,-50.400822
0.478,-18.435571,-48.184543
0.48,-14.772396,-47.857114
0.482,-12.906952,-47.704212
0.484,-11.446212,-48.116597
0.486,-8.581168,-46.431304
0.488,-5.2136106,-47.607879
0.49,-2.6938599,-43.760292
0.492,0.46985974,-45.461764
0.494,2.0949797,-43.63992
0.496,5.5049585,-42.297678
0.498,6.8899233,-42.911976
0.5,9.6633629,-42.199631
0.502,11.733693,-40.576604
0.504,15.042053,-39.97298
0.506,17.614905,-39.705956
0.508,19.981842,-37.902643
0.51,22.228195,-38.903133
0.512,23.864895,-37.370411
0.514,27.424062,-35.451069
0.516,29.066065,-35.576583
0.518,34.291572,-33.639905
0.52,34.24461,-33.118425
0.522,36.56029,-29.779868
0.524,39.681056,-29.139283
0.526,42.60318,-29.218989
0.528,42.905529,-28.125527
0.53,45.691473,-25.752128
0.532,46.856944,-25.312173
0.534,51.284856,-23.213148
0.536,52.760515,-22.986327
0.538,51.58039,-22.893583
0.54,56.527028,-20.400455
0.542,60.326326,-20.978785
0.544,61.090285,-18.02108
0.546,62.365239,-17.63832
0.548,64.588546,-15.092379
0.55,65.510871,-13.76808
0.552,67.746661,-12.952177
0.554,71.289554,-12.140969
0.556,72.024111,-11.44528
0.558,73.566513,-9.9662607
0.56,75.502675,-7.7913571
0.562,78.143354,-5.414713
0.564,79.391555,-7.2183056
0.566,80.728212,-3.6037347
0.568,82.553367,-3.1423452
0.57,83.493895,-1.4301628
0.572,84.929776,-0.27793778
0.574,85.532814,1.4234152
0.576,87.050886,4.4594243
0.578,88.866679,4.713817
0.58,90.083727,3.0630142
0.582,89.44986,6.4551565
0.584,89.755104,9.6833805
0.586,92.754081,10.834541
0.588,94.038676,10.413757
0.59,93.980699,11.694547
0.592,95.338624,13.061728
0.594,94.952519,13.977753
0.596,95.123903,17.709979
0.598,97.739217,18.853687
0.6,96.760977,20.23901
0.602,98.52383,18.625018
0.604,98.823312,20.736965
0.606,99.586171,22.93999
0.608,97.923444,24.255708
0.61,99.843021,24.429676
0.612,99.213726,23.759625
0.614,99.212076,26.898794
0.616,97.653408,28.00788
0.618,99.584073,27.570935
0.62,100.98261,30.643356
0.622,100.022,32.265238
0.624,99.609604,33.476415
0.626,99.01424,33.362578
0.628,100.68898,35.986569
0.63,99.055888,35.984295
0.632,96.185434,36.847781
0.634,97.413688,38.282899
0.636,96.754604,39.466759
0.638,96.302126,40.640729
0.64,94.846224,41.416678
0.642,96.233849,40.034178
0.644,95.751708,41.989536
0.646,92.494452,43.425575
0.648,92.682139,42.377778
0.65,90.957475,44.195561
0.652,89.642037,46.937053
0.654,88.346886,46.250778
0.656,87.458989,48.993081
0.658,87.207743,47.694597
0.66,85.652102,47.930482
0.662,83.500595,49.047474
0.664,83.152329,48.651243
0.666,82.05951,49.734786
0.668,80.61775,50.937443
0.67,79.2513,52.229698
0.672,76.703726,52.504232
0.674,75.186405,51.117197
0.676,72.457012,52.389517
0.678,70.602135,53.669189
0.68,70.473875,51.257431
0.682,68.449156,51.784436
0.684,67.588515,51.392921
0.686,64.491831,52.374159
0.688,62.191716,54.6299
0.69,60.803032,55.955285
0.692,60.706372,54.981661
0.694,58.242857,52.547888
0.696,53.964935,54.463039
0.698,53.810974,55.951487
0.7,52.120363,53.409795
0.702,48.005388,52.893213
0.704,47.296226,53.094887
0.706,43.658628,54.28806
0.708,41.795773,51.237755
0.71,39.089428,52.42306
0.712,36.063626,53.704113
0.714,33.792365,54.053485
0.716,31.489807,50.792918
0.718,31.679692,52.606752
0.72,26.345842,51.759243
0.722,24.508919,52.738448
0.724,23.314479,50.463784
0.726,20.327037,49.23815
0.728,17.051286,50.666964
0.73,15.79194,52.509955
0.732,12.157755,49.431311
0.734,10.676966,48.492787
0.736,6.6334974,49.412957
0.738,4.3565973,44.659774
0.74,2.8838102,45.187524
0.742,0.048337559,44.938421
0.744,-3.3008411,44.933462
0.746,-5.4113029,44.625029
0.748,-8.0233279,44.323438
0.75,-9.0294159,41.612154
0.752,-10.602626,42.733308
0.754,-15.170907,39.893874
0.756,-18.463435,38.051374
0.758,-20.247327,38.339586
0.76,-23.199146,37.760518
0.762,-25.913215,36.363981
0.764,-27.749913,35.728652
0.766,-30.025092,33.90767
0.768,-33.089553,32.574508
0.77,-34.055647,32.080213
0.772,-37.644968,30.73989
0.774,-39.749814,29.235843
0.776,-41.66103,30.898936
0.778,-44.816476,26.527524
0.78,-46.102798,27.458795
0.782,-48.050406,25.973403
0.784,-51.104776,25.646634
0.786,-53.623876,22.467619
0.788,-54.782833,21.001277
0.79,-56.828335,21.317244
0.792,-56.789513,18.491787
0.794,-59.251556,18.669422
0.796,-62.066092,16.914923
0.798,-65.856003,17.053318
0.8,-66.888161,14.686296
0.802,-67.229253,12.524342
0.804,-70.985971,12.219072
0.806,-72.469689,9.8395011
0.808,-71.957167,10.111893
0.81,-75.660683,9.1281076
0.812,-75.186647,5.6444866
0.814,-80.17423,5.5729276
0.816,-79.11275,2.3087853
0.818,-79.702822,2.8783723
0.82,-82.57885,1.4983938
0.822,-83.525309,0.20777015
0.824,-87.659119,-1.2974966
0.826,-86.377529,-2.7538999
0.828,-88.536797,-3.6613979
0.83,-89.355135,-4.6791438
0.832,-90.144188,-6.0057925
0.834,-91.63562,-6.3094835
0.836,-90.54575,-9.3285239
0.838,-93.185142,-10.671558
0.84,-95.471098,-12.987888
0.842,-94.969101,-13.570055
0.844,-95.153909,-14.54415
0.846,-94.852911,-16.135891
0.848,-98.819148,-16.100429
0.85,-97.542037,-19.915398
0.852,-98.841649,-20.796515
0.854,-98.866644,-21.188535
0.856,-100.10426,-19.69259
0.858,-99.050863,-23.464881
0.86,-99.070443,-23.737752
0.862,-98.985244,-26.719237
0.864,-100.47284,-28.029112
0.866,-99.245334,-27.579353
0.868,-101.112,-30.328501
0.87,-97.702486,-30.708533
0.872,-100.19451,-31.586196
0.874,-100.28143,-31.687692
0.876,-99.78565,-33.218387
0.878,-98.404816,-33.326931
0.88,-98.716307,-35.853323
0.882,-99.058306,-35.755965
0.884,-99.713336,-38.221454
0.886,-98.473859,-40.31971
0.888,-96.087227,-39.656846
0.89,-95.408395,-41.274888
0.892,-97.420704,-42.179129
0.894,-94.507021,-43.220898
0.896,-94.846507,-43.64022
0.898,-91.751297,-44.150065
0.9,-90.614553,-44.497018
0.902,-88.859667,-45.370266
0.904,-89.890841,-44.812174
0.906,-88.557285,-46.349709
0.908,-89.172801,-47.274725
0.91,-85.208997,-47.886927
0.912,-84.987445,-48.907868
0.914,-83.609339,-49.483927
0.916,-82.115854,-51.187485
0.918,-80.057878,-50.904062
0.92,-77.456789,-49.994511
0.922,-76.085274,-49.421735
0.924,-75.47474,-52.375067
0.926,-75.161386,-52.598939
0.928,-71.964713,-50.949646
0.93,-71.196591,-53.043591
0.932,-66.771048,-53.762373
0.934,-65.713707,-53.992209
0.936,-65.434746,-53.20203
0.938,-64.462202,-53.099572
0.94,-60.268856,-54.059378
0.942,-58.084931,-52.116255
0.944,-55.731902,-52.80933
0.946,-54.502513,-53.883273
0.948,-53.199655,-53.422797
0.95,-50.074824,-52.706805
0.952,-48.677223,-54.228099
0.954,-46.73657,-53.20344
0.956,-43.761925,-52.134462
0.958,-42.156959,-54.389319
0.96,-40.999569,-54.376306
0.962,-38.145376,-51.254401
0.964,-34.952551,-52.510067
0.966,-32.69143,-51.954779
0.968,-29.93388,-51.205274
0.97,-27.45839,-50.064027
0.972,-25.430991,-50.249535
0.974,-24.428265,-51.344482
0.976,-18.939235,-51.088037
0.978,-16.92605,-50.457018
0.98,-14.710426,-50.104432
0.982,-12.869663,-47.575696
0.984,-10.357539,-48.539872
0.986,-8.0482608,-46.795552
0.988,-6.0557942,-46.202993
0.99,-2.7291232,-44.48345
0.992,0.25111471,-45.537276
0.994,3.3791634,-45.522863
0.996,3.5846597,-42.815948
0.998,9.1156036,-43.377102
1,9.2074567,-44.156017
1.002,10.502998,-40.853249
1.004,16.647029,-40.912266
1.006,17.29759,-40.28817
1.008,20.467404,-38.827257
1.01,20.562225,-35.257686
1.012,24.960389,-36.813175
1.014,26.600688,-35.822328
1.016,30.745536,-34.894119
1.018,32.314777,-34.554123
1.02,33.395287,-30.99259
1.022,36.820022,-31.418279
1.024,37.877531,-30.783046
1.026,41.348993,-31.262447
1.028,44.868697,-27.06503
1.03,44.75697,-26.931041
1.032,47.539906,-24.971432
1.034,49.244418,-24.819014
1.036,53.341638,-23.648785
1.038,55.055106,-23.075646
1.04,57.805776,-21.29763
1.042,59.801041,-19.472838
1.044,61.346129,-18.853202
1.046,63.966333,-17.332685
1.048,63.640707,-15.72008
1.05,65.227062,-15.61258
1.052,68.338381,-13.92272
1.054,70.522747,-12.122014
1.056,72.622555,-10.77734
1.058,72.188395,-10.092872
1.06,74.739009,-8.5056115
1.062,76.765039,-6.5673043
1.064,79.691605,-5.5878453
1.066,79.639871,-4.8276534
1.068,81.389394,-2.0851171
1.07,82.400876,-3.9663788
1.072,83.03002,0.4000892
1.074,87.878506,0.39230001
1.076,86.99006,3.5731144
1.078,89.17815,5.4789797
1.08,87.298011,4.7733459
1.082,92.078862,7.7314273
1.084,91.392137,8.2973043
1.086,92.969107,7.9517879
1.088,94.470083,9.7870238
1.09,95.477171,12.049319
1.092,95.211528,13.895807
1.094,95.455159,14.397276
1.096,95.828982,16.262946
1.098,96.204688,16.662021
1.1,96.352249,18.495019
1.102,97.834016,20.577129
1.104,99.957219,20.962114
1.106,99.467239,24.415485
1.108,99.060605,21.472593
1.11,99.360436,24.659756
1.112,99.108275,24.402968
1.114,97.146896,27.116748
1.116,98.659176,29.431992
1.118,99.959225,28.496765
1.12,101.36235,31.020447
1.122,99.287252,31.270736
1.124,99.598786,34.168937
1.126,98.513554,32.13881
1.128,99.10697,35.037101
1.13,99.225875,35.299315
1.132,99.032704,37.32082
1.134,97.536317,36.654942
1.136,97.67428,37.900916
1.138,96.849405,38.742263
1.14,96.077317,41.779773
1.142,95.355157,41.016263
1.144,92.718967,40.473886
1.146,91.566069,42.837678
1.148,92.255736,45.391962
1.15,91.895261,46.557986
1.152,90.138544,45.307085
1.154,89.90261,46.307655
1.156,87.440673,46.802454
1.158,88.036217,44.781293
1.16,85.346333,47.503914
1.162,84.233378,47.742301
1.164,84.222873,47.706192
1.166,81.933093,50.020166
1.168,79.835197,50.764871
1.17,78.273299,51.138358
1.172,76.870071,49.141568
1.174,74.868639,52.038983
1.176,73.550514,51.634839
1.178,71.437071,52.863369
1.18,71.904899,51.559642
1.182,68.460267,53.076718
1.184,67.36404,53.329713
1.186,65.450269,53.943008
1.188,64.900464,52.727832
1.19,61.240818,53.014678
1.192,57.057656,53.699514
1.194,57.064715,54.676161
1.196,55.024564,53.06474
1.198,52.585738,54.124768
1.2,50.146302,54.682271
1.202,48.224805,53.454484
1.204,45.34275,52.424397
1.206,45.210969,53.517824
1.208,41.061125,53.101615
1.21,40.413501,52.523885
1.212,37.733743,53.048924
1.214,35.426431,51.805953
1.216,32.841884,54.126007
1.218,28.40972,52.178922
1.22,26.654612,50.826
1.222,25.101089,51.141242
1.224,20.876581,51.424887
1.226,20.161498,47.682626
1.228,18.557314,49.58504
1.23,16.290592,49.225219
1.232,12.28688,47.865691
1.234,9.6469962,48.704083
1.236,5.6309906,47.820612
1.238,6.3572159,45.677026
1.24,1.1639179,45.89667
1.242,0.80061303,44.091135
1.244,-2.4097911,43.924559
1.246,-5.9753158,43.699354
1.248,-6.9575307,42.599064
1.25,-11.223607,41.623383
1.252,-12.10718,40.218253
1.254,-13.808074,40.389138
1.256,-17.474216,40.435277
1.258,-20.231483,39.75152
1.26,-22.697866,39.039008
1.262,-25.265382,37.084344
1.264,-26.985182,35.437669
1.266,-28.746828,37.043882
1.268,-30.638068,33.562326
1.27,-35.568865,32.730754
1.272,-36.749139,30.481182
1.274,-41.152283,29.467841
1.276,-41.814765,30.337784
1.278,-43.560596,26.675158
1.28,-45.423343,27.94048
1.282,-47.452931,25.492973
1.284,-51.522536,25.856878
1.286,-52.988419,22.221399
1.288,-54.136833,19.962557
1.29,-56.961911,18.734434
1.292,-58.761077,19.298247
1.294,-61.026132,19.377551
1.296,-62.865987,17.39951
1.298,-63.992837,15.09504
1.3,-66.012324,15.08998
1.302,-69.935754,12.097562
1.304,-70.025716,11.225999
1.306,-71.963295,10.73259
1.308,-75.257502,8.0236903
1.31,-76.724575,7.5108044
1.312,-77.828622,4.6076036
1.314,-78.971075,5.2298255
1.316,-79.191601,3.9077233
1.318,-82.768021,4.7478074
1.32,-81.716074,1.7119545
1.322,-84.6065,-0.36234149
1.324,-84.290911,0.64911311
1.326,-88.804387,-2.6084182
1.328,-86.682285,-3.1338477
1.33,-90.181708,-5.6650845
1.332,-91.627873,-7.8286826
1.334,-91.443725,-9.1114289
1.336,-92.257396,-9.2221599
1.338,-94.532955,-12.522086
1.34,-94.321827,-12.584677
1.342,-96.29468,-13.225233
1.344,-96.058824,-15.364965
1.346,-97.410145,-15.114163
1.348,-97.050887,-18.027262
1.35,-97.429723,-20.072546
1.352,-97.676221,-19.521
1.354,-99.028876,-21.364842
1.356,-99.333325,-22.636817
1.358,-99.990502,-23.78199
1.36,-97.792937,-25.903309
1.362,-100.02019,-25.464027
1.364,-100.22084,-27.842092
1.366,-102.15802,-29.297731
1.368,-99.331988,-29.8201
1.37,-98.517035,-30.028574
1.372,-99.923293,-31.195955
1.374,-100.43896,-32.215071
1.376,-99.235756,-34.767233
1.378,-99.578269,-33.332392
1.38,-98.543631,-33.990307
1.382,-98.691109,-38.140002
1.384,-97.17707,-37.327417
1.386,-96.924651,-38.975019
1.388,-95.780599,-39.402595
1.39,-97.02218,-39.108675
1.392,-92.680848,-42.003623
1.394,-93.341771,-41.905134
1.396,-94.139616,-44.282154
1.398,-91.715189,-43.71604
1.4,-92.775937,-46.413531
1.402,-91.798627,-45.124011
1.404,-90.519583,-46.295362
1.406,-87.734903,-46.830551
1.408,-88.12407,-47.446058
1.41,-86.672339,-48.626972
1.412,-84.837495,-48.060868
1.414,-83.610862,-49.1137
1.416,-81.112139,-50.635043
1.418,-79.471202,-48.789296
1.42,-78.287628,-50.851902
1.422,-77.684214,-52.086013
1.424,-75.5635,-51.906425
1.426,-75.954942,-53.760049
1.428,-73.48627,-52.244205
1.43,-71.39921,-54.238945
1.432,-66.56518,-51.985874
1.434,-66.432289,-51.788901
1.436,-65.261471,-52.990268
1.438,-62.702004,-53.3254
1.44,-60.663836,-53.260007
1.442,-59.040883,-54.025624
1.444,-56.556712,-54.778539
1.446,-53.720891,-54.411868
1.448,-52.012174,-51.223388
1.45,-52.091908,-52.764991
1.452,-47.154958,-52.619815
1.454,-45.303707,-54.005437
1.456,-45.200393,-54.83824
1.458,-40.513905,-55.531254
1.46,-37.717212,-53.236729
1.462,-37.440164,-54.253447
1.464,-34.707784,-52.72662
1.466,-32.890117,-54.092478
1.468,-29.292666,-52.597857
1.47,-26.047362,-52.267363
1.472,-26.589344,-51.913695
1.474,-23.057335,-51.449179
1.476,-21.260034,-50.41849
1.478,-17.320717,-49.329223
1.48,-14.343476,-50.289341
1.482,-12.140873,-47.874987
1.484,-10.540254,-49.080932
1.486,-7.3000196,-47.204566
1.488,-3.9988259,-47.822944
1.49,-2.5101949,-46.529415
1.492,0.2214429,-45.99234
1.494,1.3659759,-43.468635
1.496,4.4594865,-43.501204
1.498,8.3246931,-43.579243
1.5,9.8542712,-41.450011
1.502,13.139153,-41.879233
1.504,16.419685,-40.610119
1.506,16.740182,-39.322177
1.508,21.049432,-37.181678
1.51,21.755682,-37.07329
1.512,25.505734,-36.752417
1.514,26.741104,-36.849508
1.516,29.475287,-35.438866
1.518,32.093902,-32.724333
1.52,34.20132,-32.701956
1.522,39.04478,-30.557814
1.524,37.347452,-30.756977
1.526,43.387321,-28.181265
1.528,43.641051,-29.46242
1.53,45.077665,-26.818079
1.532,47.312553,-25.251329
1.534,50.064084,-24.601269
1.536,53.021642,-25.187952
1.538,52.908845,-22.812281
1.54,56.295141,-19.739342
1.542,58.963264,-18.903672
1.544,59.948731,-16.970259
1.546,62.795442,-17.589861
1.548,64.419049,-17.765862
1.55,67.686309,-15.239324
1.552,69.209399,-11.728346
1.554,69.82862,-12.172203
1.556,72.599341,-10.51709
1.558,72.210929,-9.6870011
1.56,76.421739,-6.6217185
1.562,76.416717,-5.8971104
1.564,77.572089,-4.9250918
1.566,81.866309,-4.8137678
1.568,81.523966,-2.7102718
1.57,84.2829,-1.1755131
1.572,84.76671,-0.8697964
1.574,83.960719,2.6040322
1.576,85.954617,1.5023359
1.578,88.197352,5.3705141
1.58,89.399074,5.9579946
1.582,91.312953,5.4149208
1.584,90.700395,7.2732394
1.586,93.369318,8.758184
1.588,94.760248,10.482557
1.59,94.31782,11.839824
1.592,93.938339,14.413547
1.594,97.256233,14.881932
1.596,95.687276,17.366479
1.598,96.363644,17.043364
1.6,97.686892,16.786772
1.602,98.13907,19.772379
1.604,96.178861,21.478692
1.606,98.49081,22.070295
1.608,99.39106,23.216325
1.61,98.379596,26.570867
1.612,99.11846,25.000482
1.614,101.67203,26.211759
1.616,99.991447,29.179444
1.618,100.00658,28.833902
1.62,100.31821,30.07357
1.622,100.2431,31.146195
1.624,99.069546,32.005098
1.626,99.22785,35.277119
1.628,99.536246,34.638022
1.63,99.438618,35.208944
1.632,99.250426,36.476108
1.634,97.856041,38.10774
1.636,98.400488,38.142265
1.638,96.932416,39.824993
1.64,96.811555,40.990323
1.642,93.64099,39.301168
1.644,93.954148,42.830491
1.646,92.988138,42.941104
1.648,90.945618,44.08694
1.65,93.143669,44.832335
1.652,91.260235,45.069617
1.654,89.54149,44.740139
1.656,88.564407,46.790588
1.658,85.373962,48.386068
1.66,85.026664,48.361857
1.662,82.96756,48.448843
1.664,82.777727,49.947069
1.666,82.042005,47.142719
1.668,79.883646,49.941872
1.67,79.161761,51.446155
1.672,77.221166,50.667958
1.674,75.144339,52.161551
1.676,74.094869,52.128549
1.678,72.830629,50.867742
1.68,72.603099,52.41961
1.682,68.543639,53.49885
1.684,67.651325,53.077863
1.686,64.981593,53.515418
1.688,63.812212,52.942278
1.69,61.332191,53.827052
1.692,60.431566,53.436332
1.694,57.794249,52.600989
1.696,54.302259,54.882744
1.698,51.804008,52.639077
1.7,52.174033,52.956852
1.702,46.885324,53.545656
1.704,46.229913,53.171374
1.706,45.50515,52.725873
1.708,41.426179,53.87785
1.71,40.305115,53.749587
1.712,37.565001,52.297827
1.714,33.663816,52.088455
1.716,31.609614,51.905231
1.718,30.721749,53.627666
1.72,28.058078,49.993034
1.722,25.428122,53.378597
1.724,22.344533,51.108335
1.726,21.23496,48.320481
1.728,17.075087,49.733399
1.73,14.497015,48.125788
1.732,12.018264,47.851137
1.734,10.728508,49.673809
1.736,8.4099504,48.324909
1.738,5.045468,47.095493
1.74,2.2911994,45.948736
1.742,0.2569693,44.857077
1.744,-4.0056037,43.372044
1.746,-4.6641034,43.246492
1.748,-7.0491124,43.92591
1.75,-10.03656,41.248647
1.752,-14.812517,40.369352
1.754,-14.95997,43.402472
1.756,-17.728098,39.752347
1.758,-17.528179,39.156059
1.76,-22.842952,37.554838
1.762,-25.589338,38.205144
1.764,-27.58652,35.735692
1.766,-28.341207,33.313775
1.768,-32.090722,34.010525
1.77,-33.886371,33.135783
1.772,-37.287931,31.839123
1.774,-39.261144,31.241275
1.776,-41.148075,29.241256
1.778,-45.678748,27.276289
1.78,-48.052082,25.96652
1.782,-46.633895,24.972453
1.784,-51.463941,24.310208
1.786,-51.871801,25.333347
1.788,-53.898938,21.005781
1.79,-57.187833,19.408814
1.792,-57.334054,20.264723
1.794,-62.542178,17.900038
1.796,-62.584894,17.043998
1.798,-65.937596,16.333784
1.8,-68.420563,15.793603
1.802,-68.912644,12.081044
1.804,-70.619703,10.619731
1.806,-72.96126,10.594549
1.808,-72.340425,8.4420596
1.81,-75.625806,9.481363
1.812,-77.309324,6.4956416
1.814,-78.473034,4.572909
1.816,-79.084521,3.6758475
1.818,-79.770341,2.3279069
1.82,-82.106399,1.3752612
1.822,-82.589198,0.0046272181
1.824,-84.181149,-0.59930245
1.826,-86.517708,-3.7065393
1.828,-88.412005,-3.3464144
1.83,-90.606042,-4.2733946
1.832,-91.12227,-6.9937378
1.834,-92.859526,-8.5994357
1.836,-93.869272,-8.1230254
1.838,-93.722212,-10.598912
1.84,-93.981483,-11.686664
1.842,-94.328067,-14.712539
1.844,-95.357184,-16.259875
1.846,-96.001609,-17.277135
1.848,-97.931969,-17.80206
1.85,-98.019896,-17.086139
1.852,-100.01304,-20.078341
1.854,-97.401686,-21.120836
